"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.646333458E0,-3.994197845E-1,1.207946014E1,-5.055404663E1,5.197869298E1
2.656368458E0,-4.717693329E-1,1.229755402E1,-5.048925781E1,5.196746632E1
2.666404458E0,-3.260879517E-1,1.219702148E1,-5.078161621E1,5.222687250E1
2.676439458E0,-1.725521088E-1,1.224462891E1,-5.090684509E1,5.235902586E1
2.686475458E0,-1.511554718E-1,1.204381561E1,-5.088003540E1,5.228627301E1
2.696510458E0,-1.291179657E-1,1.209191132E1,-5.072230530E1,5.214387064E1
2.706546458E0,-1.481590271E-1,1.228464508E1,-5.081784058E1,5.228180732E1
2.716581458E0,-4.102687836E-1,1.210688019E1,-5.066609192E1,5.209412384E1
2.726616458E0,-3.051471710E-1,1.206273651E1,-5.094091797E1,5.235054776E1
2.736652458E0,-2.875633240E-1,1.213322449E1,-5.120443726E1,5.262311492E1
2.746687458E0,-2.802009583E-1,1.227655792E1,-5.110163879E1,5.255634952E1
2.756723458E0,-2.720794678E-1,1.224829865E1,-5.113900757E1,5.258605273E1
2.766758458E0,-1.600189209E-1,1.231682587E1,-5.107206726E1,5.253651930E1
2.776794458E0,-5.475807190E-2,1.227323914E1,-5.103889465E1,5.249384883E1
2.786829458E0,-2.151107788E-1,1.255840302E1,-5.100976562E1,5.253337937E1
2.796864458E0,-2.346916199E-1,1.227064514E1,-5.082572937E1,5.228650474E1
2.806900458E0,-1.760120392E-1,1.241616058E1,-5.068809509E1,5.218692373E1
2.816935458E0,5.258941650E-2,1.242269135E1,-5.058065796E1,5.208386492E1
2.826971458E0,1.445693970E-1,1.243824768E1,-5.070175171E1,5.220534965E1
2.837006458E0,-5.721092224E-2,1.248088074E1,-5.061889648E1,5.213490518E1
2.847042458E0,-1.391334534E-1,1.248783875E1,-5.083105469E1,5.234273202E1
2.857077458E0,-3.045978546E-1,1.234989929E1,-5.081188965E1,5.229207322E1
2.867113458E0,-2.634792328E-1,1.252352142E1,-5.063497925E1,5.216137588E1
2.877148458E0,-3.275661469E-1,1.242039490E1,-5.124789429E1,5.273253434E1
2.887183458E0,-4.716072083E-1,1.248104095E1,-5.088711548E1,5.239749344E1
2.897219458E0,-2.343044281E-1,1.247847748E1,-5.051422119E1,5.203319941E1
2.907254458E0,-2.957382202E-1,1.246257019E1,-5.078022766E1,5.228799708E1
2.917290458E0,-5.175209045E-2,1.234759521E1,-5.071672058E1,5.219819472E1
2.927325458E0,-1.065349579E-1,1.236755371E1,-5.072155762E1,5.220770194E1
2.937361458E0,-1.549835205E-1,1.250168610E1,-5.046977234E1,5.199532763E1
2.947396458E0,-1.383724213E-1,1.236377716E1,-5.038862610E1,5.188348266E1
2.957431458E0,8.540725708E-2,1.241053009E1,-5.063273621E1,5.213158857E1
2.967467458E0,-2.533550262E-1,1.236388397E1,-5.050379944E1,5.199580342E1
2.977502458E0,-1.974468231E-1,1.242102814E1,-5.062425232E1,5.212615321E1
2.987538458E0,-3.105182648E-1,1.220797729E1,-5.058042908E1,5.203374806E1
2.997573458E0,-2.043838501E-1,1.244158173E1,-5.081564331E1,5.231696029E1
3.007609458E0,-2.714595795E-1,1.238241577E1,-5.076193237E1,5.225104486E1
3.017644458E0,-1.060600281E-1,1.248803711E1,-5.055551147E1,5.207515780E1
3.027680458E0,-1.770515442E-1,1.256791687E1,-5.049130249E1,5.203225450E1
3.037715458E0,-2.936553955E-1,1.247605133E1,-5.053160095E1,5.204979140E1
3.047750458E0,-5.306987762E-1,1.224378967E1,-5.036799622E1,5.183750640E1
3.057786458E0,-3.890018463E-1,1.255368042E1,-5.038290405E1,5.192478440E1
3.067821458E0,-4.679412842E-1,1.271669769E1,-5.035317993E1,5.193626959E1
3.077857458E0,-3.918495178E-1,1.273484039E1,-5.044567871E1,5.202976270E1
3.087892458E0,-4.571495056E-1,1.251848602E1,-5.055078125E1,5.207977499E1
3.097928458E0,-8.017616272E-1,1.244550323E1,-5.054869080E1,5.206441696E1
3.107963458E0,-5.003490448E-1,1.243376923E1,-5.042124939E1,5.193410591E1
3.117998458E0,-3.290805817E-1,1.233596039E1,-5.078918457E1,5.226686792E1
3.128034458E0,-2.822799683E-1,1.241086578E1,-5.089865112E1,5.239066670E1
3.138069458E0,-3.146648407E-1,1.244448853E1,-5.050677490E1,5.201825275E1
3.148105458E0,-2.643470764E-1,1.233946228E1,-5.076916504E1,5.224787390E1
3.158140458E0,-9.653472900E-2,1.264183807E1,-5.044876099E1,5.200868076E1
3.168176458E0,-4.329490662E-2,1.265496826E1,-5.076124573E1,5.231495163E1
3.178211458E0,-1.714706421E-3,1.255287933E1,-5.076475525E1,5.229373919E1
