"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.358305583E0,-5.119878769E0,2.265523529E1,-3.933320618E1,4.567903187E1
2.368341583E0,-5.109392166E0,2.278296661E1,-3.940983582E1,4.580725505E1
2.378377583E0,-5.130323410E0,2.264628601E1,-3.956315613E1,4.587393390E1
2.388414583E0,-5.076612473E0,2.256931305E1,-3.936341858E1,4.565768947E1
2.398450583E0,-5.329698563E0,2.251719666E1,-3.932769775E1,4.563000814E1
2.408487583E0,-5.087312698E0,2.259539032E1,-3.951362610E1,4.580129978E1
2.418523583E0,-5.177331924E0,2.244159698E1,-3.939840698E1,4.563621932E1
2.428559583E0,-5.084688187E0,2.271231079E1,-3.930732727E1,4.568116781E1
2.438596583E0,-5.153573990E0,2.247512054E1,-3.931068420E1,4.557433775E1
2.448632583E0,-5.307653427E0,2.246888733E1,-3.915188599E1,4.545208751E1
2.458669583E0,-5.032365799E0,2.279917908E1,-3.897947693E1,4.543706520E1
2.468705583E0,-5.278539658E0,2.263827515E1,-3.898767090E1,4.539155169E1
2.478741583E0,-5.189062119E0,2.264748383E1,-3.924514771E1,4.560719798E1
2.488778583E0,-5.160421371E0,2.268954468E1,-3.940193176E1,4.575978161E1
2.498814583E0,-5.073759079E0,2.262135315E1,-3.923793030E1,4.557503509E1
2.508850583E0,-5.147493362E0,2.259608459E1,-3.963154602E1,4.591012053E1
2.518887583E0,-4.980722427E0,2.240734100E1,-3.960565186E1,4.577667731E1
2.528923583E0,-5.111234665E0,2.255725861E1,-3.959263611E1,4.585336923E1
2.538960583E0,-5.053236008E0,2.285240173E1,-3.966709900E1,4.605698864E1
2.548996583E0,-5.216745377E0,2.285132599E1,-3.971885681E1,4.611924889E1
2.559032583E0,-5.100545883E0,2.260279083E1,-3.954089355E1,4.582994638E1
2.569069583E0,-5.334150314E0,2.281174469E1,-3.911154175E1,4.559102492E1
2.579105583E0,-5.228601456E0,2.278154755E1,-3.935498047E1,4.577282676E1
2.589142583E0,-5.108655930E0,2.264871216E1,-3.907371521E1,4.545126784E1
2.599178583E0,-5.229917526E0,2.263230896E1,-3.915884399E1,4.553008356E1
2.609214583E0,-5.426610947E0,2.283937073E1,-3.888798523E1,4.542422654E1
2.619251583E0,-5.398099899E0,2.309673309E1,-3.905856323E1,4.569649794E1
2.629287583E0,-5.430299759E0,2.274597931E1,-3.906184387E1,4.552686434E1
2.639324583E0,-5.424531937E0,2.270418549E1,-3.894641113E1,4.540626086E1
2.649360583E0,-5.386384964E0,2.260543823E1,-3.923973083E1,4.560455522E1
2.659396583E0,-5.248861313E0,2.250630188E1,-3.932113647E1,4.560960363E1
2.669433583E0,-5.410367966E0,2.260600281E1,-3.919741821E1,4.557127427E1
2.679469583E0,-5.551912308E0,2.272086334E1,-3.920414734E1,4.565113941E1
2.689505583E0,-5.497053146E0,2.266503143E1,-3.930026245E1,4.569936402E1
2.699542583E0,-5.446596146E0,2.272556305E1,-3.936705017E1,4.578079581E1
2.709578583E0,-5.515306473E0,2.253318787E1,-3.854122925E1,4.498432519E1
2.719615583E0,-5.513097763E0,2.250788116E1,-3.892745972E1,4.530282642E1
2.729651583E0,-5.384160995E0,2.233982849E1,-3.899685669E1,4.526380406E1
2.739687583E0,-5.495115280E0,2.249227905E1,-3.885466003E1,4.523033844E1
2.749724583E0,-5.572843552E0,2.273175049E1,-3.932693481E1,4.576458093E1
2.759760583E0,-5.675580978E0,2.237512207E1,-3.942701721E1,4.568750369E1
2.769797583E0,-5.551824570E0,2.242412567E1,-3.926962280E1,4.556059090E1
2.779833583E0,-5.430517197E0,2.253652954E1,-3.920417786E1,4.554506825E1
2.789869583E0,-5.693716049E0,2.262891388E1,-3.917195129E1,4.559526197E1
2.799906583E0,-5.518636703E0,2.262922668E1,-3.892002869E1,4.535753393E1
2.809942583E0,-5.676713943E0,2.263835907E1,-3.899270630E1,4.544393829E1
2.819978583E0,-5.715887070E0,2.268379211E1,-3.926966858E1,4.570921854E1
2.830015583E0,-5.743581772E0,2.272898865E1,-3.947532654E1,4.591184010E1
2.840051583E0,-5.465925217E0,2.272942352E1,-3.933700562E1,4.575918534E1
2.850088583E0,-5.388395309E0,2.273313141E1,-3.928794861E1,4.570965952E1
2.860124583E0,-5.377771378E0,2.297766113E1,-3.945007324E1,4.596957271E1
2.870160583E0,-5.577947617E0,2.281867218E1,-3.921659851E1,4.571374956E1
2.880197583E0,-5.625970840E0,2.264833069E1,-3.893646240E1,4.539434475E1
2.890233583E0,-5.613744736E0,2.263437653E1,-3.919418335E1,4.560716105E1
2.900270583E0,-5.609884262E0,2.273986053E1,-3.942219543E1,4.585500574E1
2.910306583E0,-5.641641617E0,2.268511963E1,-3.933598328E1,4.575764803E1
2.920342583E0,-5.351549149E0,2.260031891E1,-3.920704651E1,4.556979251E1
2.930379583E0,-5.653894424E0,2.264617920E1,-3.943493652E1,4.582499507E1
2.940415583E0,-5.634878159E0,2.257698059E1,-3.903797913E1,4.544706502E1
2.950451583E0,-5.569295883E0,2.257831573E1,-3.890486145E1,4.532533114E1
2.960488583E0,-5.679616928E0,2.288416290E1,-3.892028809E1,4.550529403E1
2.970524583E0,-5.848947525E0,2.289968872E1,-3.921197510E1,4.578411211E1
2.980561583E0,-5.814954758E0,2.281700897E1,-3.898339844E1,4.554267176E1
2.990597583E0,-5.704504013E0,2.293878937E1,-3.904798889E1,4.564509678E1
3.000633583E0,-5.965837479E0,2.313752747E1,-3.945552063E1,4.612672221E1
3.010670583E0,-5.762182236E0,2.295475769E1,-3.923080444E1,4.581680545E1
3.020706583E0,-5.776933670E0,2.276148224E1,-3.949967957E1,4.595304911E1
3.030743583E0,-5.683027267E0,2.282678223E1,-3.940272522E1,4.589045152E1
3.040779583E0,-5.661684036E0,2.269068909E1,-3.969395447E1,4.607094593E1
3.050815583E0,-5.801500320E0,2.294370270E1,-3.936817932E1,4.593391386E1
3.060852583E0,-5.740659714E0,2.283480835E1,-3.961056519E1,4.608015322E1
3.070888583E0,-5.656888962E0,2.276317596E1,-3.965383911E1,4.607156964E1
3.080924583E0,-5.592580795E0,2.271878052E1,-3.926361084E1,4.570613837E1
3.090961583E0,-5.879224777E0,2.272975922E1,-3.923432922E1,4.572242150E1
3.100997583E0,-5.673063278E0,2.282015228E1,-3.940524292E1,4.588808306E1
3.111034583E0,-5.763368607E0,2.255175018E1,-3.942535400E1,4.578380055E1
3.121070583E0,-5.967535019E0,2.263818359E1,-3.934796143E1,4.578603389E1
